symptom,possible_conditions,advice
itchy rash,Liver disease (hepatitis); Gout; Tension headache,"Possible causes include: Liver disease (hepatitis), Gout, Tension headache. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
hives,Pneumonia; Venous insufficiency; Hyperventilation syndrome,"Possible causes include: Pneumonia, Venous insufficiency, Hyperventilation syndrome. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
red patches on skin,Endometriosis; Pneumonia; Motion sickness,"Possible causes include: Endometriosis, Pneumonia, Motion sickness. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
blisters,Psoriasis; Pneumonia; Chronic obstructive pulmonary disease (COPD),"Possible causes include: Psoriasis, Pneumonia, Chronic obstructive pulmonary disease (COPD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
acne,Venous insufficiency; Allergic rhinitis; Retinal detachment,"Possible causes include: Venous insufficiency, Allergic rhinitis, Retinal detachment. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
dry skin,Ovarian cyst; Urinary tract infection (UTI); Pneumonia,"Possible causes include: Ovarian cyst, Urinary tract infection (UTI), Pneumonia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
skin peeling,Benign prostatic hyperplasia (BPH); Heart attack (myocardial infarction); Chronic kidney disease,"Possible causes include: Benign prostatic hyperplasia (BPH), Heart attack (myocardial infarction), Chronic kidney disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
skin ulcers,Bronchitis; Pressure ulcer; Iron deficiency anemia,"Possible causes include: Bronchitis, Pressure ulcer, Iron deficiency anemia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
easy bruising,Transient ischemic attack (TIA); Heart failure; Gallstones,"Possible causes include: Transient ischemic attack (TIA), Heart failure, Gallstones. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
pale skin (pallor),Shingles; Seizure disorder (epilepsy); Venous insufficiency,"Possible causes include: Shingles, Seizure disorder (epilepsy), Venous insufficiency. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
jaundice (yellow skin),Pressure ulcer; Asthma; Typhoid fever,"Possible causes include: Pressure ulcer, Asthma, Typhoid fever. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
swollen lymph nodes,Heart attack (myocardial infarction); Pulmonary embolism; Autoimmune disease,"Possible causes include: Heart attack (myocardial infarction), Pulmonary embolism, Autoimmune disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
mouth ulcers,Venous insufficiency; Shingles; Ectopic pregnancy,"Possible causes include: Venous insufficiency, Shingles, Ectopic pregnancy. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
bad breath (halitosis),Psoriasis; Multiple sclerosis; Migraine,"Possible causes include: Psoriasis, Multiple sclerosis, Migraine. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
difficulty speaking,Vitamin B12 deficiency; Bursitis; Psoriasis,"Possible causes include: Vitamin B12 deficiency, Bursitis, Psoriasis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
slurred speech,Transient ischemic attack (TIA); Multiple sclerosis; Hypertension,"Possible causes include: Transient ischemic attack (TIA), Multiple sclerosis, Hypertension. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
drooping of face (facial droop),Cholecystitis; Vitamin B12 deficiency; Meningitis,"Possible causes include: Cholecystitis, Vitamin B12 deficiency, Meningitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
difficulty walking,Lupus (SLE); Insomnia disorder; Psoriasis,"Possible causes include: Lupus (SLE), Insomnia disorder, Psoriasis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
balance problems,Vertigo (BPPV); Tuberculosis; Bacterial infection,"Possible causes include: Vertigo (BPPV), Tuberculosis, Bacterial infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
difficulty using hands,Insomnia disorder; Typhoid fever; Shingles,"Possible causes include: Insomnia disorder, Typhoid fever, Shingles. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
cold hands or feet,Gastroesophageal reflux disease (GERD); Tuberculosis; PID (pelvic inflammatory disease),"Possible causes include: Gastroesophageal reflux disease (GERD), Tuberculosis, PID (pelvic inflammatory disease). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
claudication (leg cramp on walking),Tension headache; Retinal detachment; Multiple sclerosis,"Possible causes include: Tension headache, Retinal detachment, Multiple sclerosis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
blood sugar symptoms (excessive thirst),Cholecystitis; Dehydration; Bronchitis,"Possible causes include: Cholecystitis, Dehydration, Bronchitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
frequent hunger,Seizure disorder (epilepsy); Hyperthyroidism; Osteoarthritis,"Possible causes include: Seizure disorder (epilepsy), Hyperthyroidism, Osteoarthritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
recurrent infections,Urinary tract infection (UTI); Depression; COVID-19,"Possible causes include: Urinary tract infection (UTI), Depression, COVID-19. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
slow wound healing,Endometriosis; Tendonitis; Lupus (SLE),"Possible causes include: Endometriosis, Tendonitis, Lupus (SLE). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
unusual lumps or bumps,Dengue fever; Laryngitis; Encephalitis,"Possible causes include: Dengue fever, Laryngitis, Encephalitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
sudden weight loss,Ovarian cyst; Bacterial infection; Vitamin B12 deficiency,"Possible causes include: Ovarian cyst, Bacterial infection, Vitamin B12 deficiency. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night-time urination (nocturia),Bronchiolitis; Eczema herpeticum; Lupus (SLE),"Possible causes include: Bronchiolitis, Eczema herpeticum, Lupus (SLE). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
excessive sweating,Autoimmune disease; Gastritis; Appendicitis,"Possible causes include: Autoimmune disease, Gastritis, Appendicitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
breast pain,Multiple sclerosis; Peptic ulcer disease; Gastritis,"Possible causes include: Multiple sclerosis, Peptic ulcer disease, Gastritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
breast discharge,Motion sickness; Eczema herpeticum; Inflammatory bowel disease (IBD),"Possible causes include: Motion sickness, Eczema herpeticum, Inflammatory bowel disease (IBD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
swelling of face,Parkinson's disease; Osteoarthritis; Malaria,"Possible causes include: Parkinson's disease, Osteoarthritis, Malaria. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
swelling of tongue,Migraine; Bursitis; Food poisoning,"Possible causes include: Migraine, Bursitis, Food poisoning. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
difficulty breathing after exposure (allergic),Migraine; Occupational lung disease; Sepsis,"Possible causes include: Migraine, Occupational lung disease, Sepsis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
difficulty breathing while lying down (orthopnea),Multiple sclerosis; Retinal detachment; Conjunctivitis,"Possible causes include: Multiple sclerosis, Retinal detachment, Conjunctivitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
worse on exertion (shortness of breath on exertion),Peripheral neuropathy; Chronic obstructive pulmonary disease (COPD); Angina,"Possible causes include: Peripheral neuropathy, Chronic obstructive pulmonary disease (COPD), Angina. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
worse at night,Sepsis; Anaphylaxis; COVID-19,"Possible causes include: Sepsis, Anaphylaxis, COVID-19. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
worse after meals,Rheumatoid arthritis; Asthma; Viral infection,"Possible causes include: Rheumatoid arthritis, Asthma, Viral infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
symptom onset sudden,Contact dermatitis; Earwax impaction; Cholecystitis,"Possible causes include: Contact dermatitis, Earwax impaction, Cholecystitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
symptom onset gradual,Sepsis; Multiple sclerosis; Urinary tract infection (UTI),"Possible causes include: Sepsis, Multiple sclerosis, Urinary tract infection (UTI). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
feeling hot or flushed,Hyperventilation syndrome; Depression; Eczema herpeticum,"Possible causes include: Hyperventilation syndrome, Depression, Eczema herpeticum. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chest tightness,Tendonitis; Anaphylaxis; Herpes zoster (shingles),"Possible causes include: Tendonitis, Anaphylaxis, Herpes zoster (shingles). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
early satiety,Bacterial infection; Peptic ulcer disease; Tuberculosis,"Possible causes include: Bacterial infection, Peptic ulcer disease, Tuberculosis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
difficulty swallowing solids,Sports injury / sprain; Inflammatory bowel disease (IBD); Endometriosis,"Possible causes include: Sports injury / sprain, Inflammatory bowel disease (IBD), Endometriosis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
difficulty swallowing liquids,Allergic reaction; COVID-19; Hyperthyroidism,"Possible causes include: Allergic reaction, COVID-19, Hyperthyroidism. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
bad cough at night,Venous insufficiency; Eczema herpeticum; Irritable bowel syndrome (IBS),"Possible causes include: Venous insufficiency, Eczema herpeticum, Irritable bowel syndrome (IBS). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
cough worse with exertion,Panic disorder; Cholecystitis; Asthma,"Possible causes include: Panic disorder, Cholecystitis, Asthma. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
cough worse when lying down,Dermatitis/eczema; Hypothyroidism; Tooth abscess,"Possible causes include: Dermatitis/eczema, Hypothyroidism, Tooth abscess. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
pain that wakes from sleep,Asthma; Anemia; Migraine,"Possible causes include: Asthma, Anemia, Migraine. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
non-healing wound,Occupational lung disease; Seizure disorder (epilepsy); Vitamin B12 deficiency,"Possible causes include: Occupational lung disease, Seizure disorder (epilepsy), Vitamin B12 deficiency. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
recurrent fever episodes,Gastritis; Anemia; TMJ disorder,"Possible causes include: Gastritis, Anemia, TMJ disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
intermittent fever,Herpes zoster (shingles); Deep vein thrombosis (DVT); Typhoid fever,"Possible causes include: Herpes zoster (shingles), Deep vein thrombosis (DVT), Typhoid fever. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever with chills and rigors,Motion sickness; Inflammatory bowel disease (IBD); Transient ischemic attack (TIA),"Possible causes include: Motion sickness, Inflammatory bowel disease (IBD), Transient ischemic attack (TIA). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever with rash,Urinary tract infection (UTI); Eustachian tube dysfunction; Laryngitis,"Possible causes include: Urinary tract infection (UTI), Eustachian tube dysfunction, Laryngitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever in children,Acute kidney injury; Deep vein thrombosis (DVT); Parasitic infection,"Possible causes include: Acute kidney injury, Deep vein thrombosis (DVT), Parasitic infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever in adults,Acute kidney injury; Hyperventilation syndrome; Contact dermatitis,"Possible causes include: Acute kidney injury, Hyperventilation syndrome, Contact dermatitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever during pregnancy,Periodontal disease (gum infection); Deep vein thrombosis (DVT); Eustachian tube dysfunction,"Possible causes include: Periodontal disease (gum infection), Deep vein thrombosis (DVT), Eustachian tube dysfunction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever after eating,Vitamin B12 deficiency; Hyperventilation syndrome; Laryngitis,"Possible causes include: Vitamin B12 deficiency, Hyperventilation syndrome, Laryngitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever on exertion,Seizure disorder (epilepsy); Parkinson's disease; Urinary tract infection (UTI),"Possible causes include: Seizure disorder (epilepsy), Parkinson's disease, Urinary tract infection (UTI). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever at night,Periodontal disease (gum infection); Fracture; Gastritis,"Possible causes include: Periodontal disease (gum infection), Fracture, Gastritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever in the morning,Diabetes (hyperglycemia); Allergic reaction; Sinusitis,"Possible causes include: Diabetes (hyperglycemia), Allergic reaction, Sinusitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever for 1 day,Cluster headache; Pancreatitis; Bronchiolitis,"Possible causes include: Cluster headache, Pancreatitis, Bronchiolitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever for 3 days,Insomnia disorder; Dehydration; Dermatitis/eczema,"Possible causes include: Insomnia disorder, Dehydration, Dermatitis/eczema. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever for 1 week,RSV infection; Tooth abscess; Stroke,"Possible causes include: RSV infection, Tooth abscess, Stroke. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever chronic (months),Cluster headache; Parasitic infection; Autoimmune disease,"Possible causes include: Cluster headache, Parasitic infection, Autoimmune disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever sudden onset,Liver disease (hepatitis); Heart failure; Contact dermatitis,"Possible causes include: Liver disease (hepatitis), Heart failure, Contact dermatitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever progressive,Rheumatoid arthritis; Bronchitis; Earwax impaction,"Possible causes include: Rheumatoid arthritis, Bronchitis, Earwax impaction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever recurrent,Rheumatoid arthritis; Dehydration; Meningitis,"Possible causes include: Rheumatoid arthritis, Dehydration, Meningitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever severe,Benign prostatic hyperplasia (BPH); Heart failure; Iron deficiency anemia,"Possible causes include: Benign prostatic hyperplasia (BPH), Heart failure, Iron deficiency anemia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever mild,PID (pelvic inflammatory disease); Contact dermatitis; Parasitic infection,"Possible causes include: PID (pelvic inflammatory disease), Contact dermatitis, Parasitic infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever moderate,Peptic ulcer disease; Multiple sclerosis; Acute kidney injury,"Possible causes include: Peptic ulcer disease, Multiple sclerosis, Acute kidney injury. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever worse when bending,Venous insufficiency; Multiple sclerosis; Allergic reaction,"Possible causes include: Venous insufficiency, Multiple sclerosis, Allergic reaction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever worse when coughing,Gastritis; Pressure ulcer; Panic disorder,"Possible causes include: Gastritis, Pressure ulcer, Panic disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever improves with rest,Dehydration; Peripheral arterial disease; Periodontal disease (gum infection),"Possible causes include: Dehydration, Peripheral arterial disease, Periodontal disease (gum infection). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever worse with movement,Psoriasis; Panic disorder; Malaria,"Possible causes include: Psoriasis, Panic disorder, Malaria. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever associated with fever,Benign prostatic hyperplasia (BPH); Peptic ulcer disease; Hypoglycemia,"Possible causes include: Benign prostatic hyperplasia (BPH), Peptic ulcer disease, Hypoglycemia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever associated with vomiting,Rabies (rare); Liver disease (hepatitis); Peripheral neuropathy,"Possible causes include: Rabies (rare), Liver disease (hepatitis), Peripheral neuropathy. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever with blood,Asthma; Tendonitis; Panic disorder,"Possible causes include: Asthma, Tendonitis, Panic disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever with mucus,Viral infection; Ectopic pregnancy; Laryngitis,"Possible causes include: Viral infection, Ectopic pregnancy, Laryngitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever with yellow discharge,PID (pelvic inflammatory disease); Occupational lung disease; Carpal tunnel syndrome,"Possible causes include: PID (pelvic inflammatory disease), Occupational lung disease, Carpal tunnel syndrome. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever with green discharge,Hyperventilation syndrome; Vitamin B12 deficiency; Pancreatitis,"Possible causes include: Hyperventilation syndrome, Vitamin B12 deficiency, Pancreatitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever after travel,Hypothyroidism; Panic disorder; Bronchitis,"Possible causes include: Hypothyroidism, Panic disorder, Bronchitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever after insect bite,Vitamin B12 deficiency; Contact dermatitis; Typhoid fever,"Possible causes include: Vitamin B12 deficiency, Contact dermatitis, Typhoid fever. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever after injury,Psoriasis; Autoimmune disease; Gallstones,"Possible causes include: Psoriasis, Autoimmune disease, Gallstones. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever postoperative,Carpal tunnel syndrome; Lupus (SLE); Retinal detachment,"Possible causes include: Carpal tunnel syndrome, Lupus (SLE), Retinal detachment. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever after surgery,Dermatitis/eczema; Vitamin B12 deficiency; Deep vein thrombosis (DVT),"Possible causes include: Dermatitis/eczema, Vitamin B12 deficiency, Deep vein thrombosis (DVT). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever during menstruation,Cellulitis; Heart failure; Fracture,"Possible causes include: Cellulitis, Heart failure, Fracture. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever postpartum,Gout; Eczema herpeticum; Cholecystitis,"Possible causes include: Gout, Eczema herpeticum, Cholecystitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever in elderly,Liver disease (hepatitis); Pulmonary embolism; Vitamin B12 deficiency,"Possible causes include: Liver disease (hepatitis), Pulmonary embolism, Vitamin B12 deficiency. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever in child under 5,Diabetes (hyperglycemia); Iron deficiency anemia; Motion sickness,"Possible causes include: Diabetes (hyperglycemia), Iron deficiency anemia, Motion sickness. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever in smoker,Acute kidney injury; Dengue fever; Shingles,"Possible causes include: Acute kidney injury, Dengue fever, Shingles. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever in diabetic patient,Lupus (SLE); Heart failure; Eczema herpeticum,"Possible causes include: Lupus (SLE), Heart failure, Eczema herpeticum. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever in immunocompromised,COVID-19; Viral infection; Lupus (SLE),"Possible causes include: COVID-19, Viral infection, Lupus (SLE). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever after antibiotic use,Osteoarthritis; Migraine; Panic disorder,"Possible causes include: Osteoarthritis, Migraine, Panic disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever after eating spicy food,Periodontal disease (gum infection); Venous insufficiency; Malaria,"Possible causes include: Periodontal disease (gum infection), Venous insufficiency, Malaria. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever after heavy meal,Encephalitis; Cellulitis; Otitis media,"Possible causes include: Encephalitis, Cellulitis, Otitis media. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever with weight loss,Depression; Iron deficiency anemia; Tension headache,"Possible causes include: Depression, Iron deficiency anemia, Tension headache. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever with sweating,Benign prostatic hyperplasia (BPH); Sinusitis; Tooth abscess,"Possible causes include: Benign prostatic hyperplasia (BPH), Sinusitis, Tooth abscess. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever with shortness of breath,Tooth abscess; Hyperventilation syndrome; Kidney stones,"Possible causes include: Tooth abscess, Hyperventilation syndrome, Kidney stones. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever with chest pain,Autoimmune disease; Heart attack (myocardial infarction); Osteoarthritis,"Possible causes include: Autoimmune disease, Heart attack (myocardial infarction), Osteoarthritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever with palpitations,Benign prostatic hyperplasia (BPH); Autoimmune disease; Sepsis,"Possible causes include: Benign prostatic hyperplasia (BPH), Autoimmune disease, Sepsis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever during exercise,Typhoid fever; Contact dermatitis; Angina,"Possible causes include: Typhoid fever, Contact dermatitis, Angina. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever at rest,Bronchiolitis; Vertigo (BPPV); Transient ischemic attack (TIA),"Possible causes include: Bronchiolitis, Vertigo (BPPV), Transient ischemic attack (TIA). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever intermittent,Iron deficiency anemia; Dermatitis/eczema; Cluster headache,"Possible causes include: Iron deficiency anemia, Dermatitis/eczema, Cluster headache. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever constant,Laryngitis; Pancreatitis; Irritable bowel syndrome (IBS),"Possible causes include: Laryngitis, Pancreatitis, Irritable bowel syndrome (IBS). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever episodes lasting minutes,Parasitic infection; Asthma; Seizure disorder (epilepsy),"Possible causes include: Parasitic infection, Asthma, Seizure disorder (epilepsy). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fever episodes lasting hours,Sinusitis; Dengue fever; Earwax impaction,"Possible causes include: Sinusitis, Dengue fever, Earwax impaction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever in children,Tuberculosis; Insomnia disorder; Pulmonary embolism,"Possible causes include: Tuberculosis, Insomnia disorder, Pulmonary embolism. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever in adults,HIV-related infection; Rabies (rare); Liver disease (hepatitis),"Possible causes include: HIV-related infection, Rabies (rare), Liver disease (hepatitis). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever during pregnancy,Bursitis; Fracture; Hypoglycemia,"Possible causes include: Bursitis, Fracture, Hypoglycemia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever after eating,Glaucoma; Heart failure; Seizure disorder (epilepsy),"Possible causes include: Glaucoma, Heart failure, Seizure disorder (epilepsy). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever on exertion,Irritable bowel syndrome (IBS); Encephalitis; Sports injury / sprain,"Possible causes include: Irritable bowel syndrome (IBS), Encephalitis, Sports injury / sprain. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever at night,Viral infection; Vertigo (BPPV); Earwax impaction,"Possible causes include: Viral infection, Vertigo (BPPV), Earwax impaction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever in the morning,Gastritis; TMJ disorder; Anaphylaxis,"Possible causes include: Gastritis, TMJ disorder, Anaphylaxis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever for 1 day,Cluster headache; Acute kidney injury; Eustachian tube dysfunction,"Possible causes include: Cluster headache, Acute kidney injury, Eustachian tube dysfunction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever for 3 days,Fracture; Ectopic pregnancy; Otitis media,"Possible causes include: Fracture, Ectopic pregnancy, Otitis media. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever for 1 week,Chronic obstructive pulmonary disease (COPD); Herpes zoster (shingles); Seizure disorder (epilepsy),"Possible causes include: Chronic obstructive pulmonary disease (COPD), Herpes zoster (shingles), Seizure disorder (epilepsy). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
